rakuten_product_id,tier_override
1make:10000000,cosmetics
aesthetic-value:10001577,cosmetics
aimere:10000523,cosmetics
aimere:10000618,cosmetics
aimere:10000643,cosmetics
aimere:10000644,cosmetics
ainoki-japan:10000041,cosmetics
akachanfude:10000418,cosmetics
akachanfude:10000472,cosmetics
akachanfude:10001572,cosmetics
angela-lash:10000960,cosmetics
angfa:10000405,cosmetics
apm24:10004676,cosmetics
arianakosume:10000487,cosmetics
arianakosume:10000637,cosmetics
arianakosume:10001722,cosmetics
arianakosume:10001906,cosmetics
arianakosume:10002249,cosmetics
asiabnc:10000094,cosmetics
asiabnc:10000228,cosmetics
asiabnc:10000243,cosmetics
asiabnc:10000310,cosmetics
atcare:10000031,cosmetics
atomya:10000013,cosmetics
atomya:10000132,cosmetics
attenir:10000327,cosmetics
auc-pa-ppar:10001147,cosmetics
auc-pa-ppar:10001767,cosmetics
auc-worldstore:10052930,cosmetics
beautyforest2018:10000576,cosmetics
beautyforest2018:10000777,cosmetics
beautyforest2018:10001207,cosmetics
beautyforest2018:10001311,cosmetics
beautyforest2018:10001768,cosmetics
beautyforest2018:10001824,cosmetics
beautypalace:10000186,cosmetics
bijin-cosme:10002499,cosmetics
bijin-cosme:10004299,cosmetics
blanc-lapin:10080708,cosmetics
bs-cosme:10000185,cosmetics
bunkoudou:10000018,cosmetics
bunkoudou:10000030,cosmetics
byurjapan:10000005,cosmetics
candy:10454002,cosmetics
candy:10454123,cosmetics
citrus-shop:10000017,cosmetics
citrus-shop:10001109,cosmetics
citrus-shop:10002476,cosmetics
clinique:10000007,cosmetics
clinique:10000241,cosmetics
clinique:10000555,cosmetics
clinique:10001369,cosmetics
cliojapan:10000199,cosmetics
cliojapan:10000211,cosmetics
cosme-venus:10000618,cosmetics
cosme-venus:10000852,cosmetics
cosme-venus:10001548,cosmetics
cosmediva:10000355,cosmetics
cosmediva:10001416,cosmetics
cosmediva:10002309,cosmetics
cosmediva:10004004,cosmetics
cosmedo:10000114,cosmetics
cosmeland:10000688,cosmetics
cosmeland:10003125,cosmetics
cosmeland:10021247,cosmetics
cosmelink:10003615,cosmetics
cosmelink:10010083,cosmetics
cosmelink:10061913,cosmetics
cosmelink:10066985,cosmetics
cosmenana:10003763,cosmetics
d-ray:10000001,cosmetics
d-ray:10000007,cosmetics
d-ray:10000052,cosmetics
daikanyama-st:10004811,cosmetics
deco-run:10000004,cosmetics
deconail-seisakujo:10001057,cosmetics
deconail-seisakujo:10001645,cosmetics
deconail-seisakujo:10003247,cosmetics
deconail-seisakujo:10004727,cosmetics
deconail-seisakujo:10004775,cosmetics
deconail-seisakujo:10004812,cosmetics
diamond-c:10000071,cosmetics
dream-t:10000103,cosmetics
dupwebshop:10002540,cosmetics
e-homare:10000280,cosmetics
esco-corp:10041201,cosmetics
etudehouse:10001142,cosmetics
everlife:10001075,cosmetics
everlife:10001324,cosmetics
everlife:10001572,cosmetics
fancl-shop:10010068,cosmetics
ffws:10006299,cosmetics
fujikobrand:10000052,cosmetics
fujikobrand:10000094,cosmetics
fujikobrand:10000119,cosmetics
fujikobrand:10000120,cosmetics
funnyelves:10000001,cosmetics
galleries:10000104,cosmetics
good-value-item:10002458,cosmetics
granbeautyon-line:10000183,cosmetics
granbeautyon-line:10000186,cosmetics
happyhouse:10000196,cosmetics
himawari-corp:10000000,cosmetics
hokorishop:10000028,cosmetics
ichifujiec:10000074,cosmetics
immeme:10000000,cosmetics
innisfree-official:10000694,cosmetics
jennydesse:11098077,cosmetics
justrich:10000740,cosmetics
kiseki-shop:10009636,cosmetics
koma:10001116,cosmetics
lilyanna:10000409,cosmetics
lilyanna:10000568,cosmetics
linofle:10000115,cosmetics
little-witch:10000310,cosmetics
ludia:10000191,cosmetics
ludia:10000212,cosmetics
ludia:10000418,cosmetics
lunasol:10000004,cosmetics
lunasol:10000285,cosmetics
luxystone:10002149,cosmetics
m4-magic:10000063,cosmetics
maccosmetics:10000299,cosmetics
maccosmetics:10000304,cosmetics
maccosmetics:10000566,cosmetics
maccosmetics:10000633,cosmetics
maccosmetics:10001118,cosmetics
mahalohalo:10000044,cosmetics
mahalohalo:10000046,cosmetics
