year,month,item,measure,unit,value,source_table_year
2015,0,おしろい,出荷その他,kg,4176.0,2019
2016,0,おしろい,出荷その他,kg,3983.0,2020
2017,0,おしろい,出荷その他,kg,7034.0,2021
2018,0,おしろい,出荷その他,kg,7224.0,2022
2019,0,おしろい,出荷その他,kg,8267.0,2023
2019,1,おしろい,出荷その他,kg,360.0,2019
2019,2,おしろい,出荷その他,kg,464.0,2019
2019,3,おしろい,出荷その他,kg,344.0,2019
2019,4,おしろい,出荷その他,kg,789.0,2019
2019,5,おしろい,出荷その他,kg,361.0,2019
2019,6,おしろい,出荷その他,kg,712.0,2019
2019,7,おしろい,出荷その他,kg,566.0,2019
2019,8,おしろい,出荷その他,kg,1410.0,2019
2019,9,おしろい,出荷その他,kg,1583.0,2019
2019,10,おしろい,出荷その他,kg,302.0,2019
2019,11,おしろい,出荷その他,kg,899.0,2019
2019,12,おしろい,出荷その他,kg,477.0,2019
2020,0,おしろい,出荷その他,kg,9252.0,2023
2020,1,おしろい,出荷その他,kg,534.0,2020
2020,2,おしろい,出荷その他,kg,506.0,2020
2020,3,おしろい,出荷その他,kg,774.0,2020
2020,4,おしろい,出荷その他,kg,584.0,2020
2020,5,おしろい,出荷その他,kg,533.0,2020
2020,6,おしろい,出荷その他,kg,1579.0,2020
2020,7,おしろい,出荷その他,kg,483.0,2020
2020,8,おしろい,出荷その他,kg,386.0,2020
2020,9,おしろい,出荷その他,kg,527.0,2020
2020,10,おしろい,出荷その他,kg,575.0,2020
2020,11,おしろい,出荷その他,kg,1901.0,2020
2020,12,おしろい,出荷その他,kg,857.0,2020
2021,0,おしろい,出荷その他,kg,13438.0,2023
2021,1,おしろい,出荷その他,kg,363.0,2021
2021,2,おしろい,出荷その他,kg,571.0,2021
2021,3,おしろい,出荷その他,kg,1056.0,2021
2021,4,おしろい,出荷その他,kg,1276.0,2021
2021,5,おしろい,出荷その他,kg,3043.0,2021
2021,6,おしろい,出荷その他,kg,2102.0,2021
2021,7,おしろい,出荷その他,kg,947.0,2021
2021,8,おしろい,出荷その他,kg,475.0,2021
2021,9,おしろい,出荷その他,kg,1466.0,2021
2021,10,おしろい,出荷その他,kg,650.0,2021
2021,11,おしろい,出荷その他,kg,714.0,2021
2021,12,おしろい,出荷その他,kg,756.0,2021
2022,0,おしろい,出荷その他,kg,7401.0,2023
2022,1,おしろい,出荷その他,kg,569.0,2022
2022,2,おしろい,出荷その他,kg,384.0,2022
2022,3,おしろい,出荷その他,kg,856.0,2022
2022,4,おしろい,出荷その他,kg,384.0,2022
2022,5,おしろい,出荷その他,kg,980.0,2022
2022,6,おしろい,出荷その他,kg,920.0,2022
2022,7,おしろい,出荷その他,kg,460.0,2022
2022,8,おしろい,出荷その他,kg,487.0,2022
2022,9,おしろい,出荷その他,kg,645.0,2022
2022,10,おしろい,出荷その他,kg,625.0,2022
2022,11,おしろい,出荷その他,kg,659.0,2022
2022,12,おしろい,出荷その他,kg,432.0,2022
2023,0,おしろい,出荷その他,kg,7820.0,2023
2023,1,おしろい,出荷その他,kg,436.0,2023
2023,2,おしろい,出荷その他,kg,253.0,2023
2023,3,おしろい,出荷その他,kg,898.0,2023
2023,4,おしろい,出荷その他,kg,458.0,2023
2023,5,おしろい,出荷その他,kg,565.0,2023
2023,6,おしろい,出荷その他,kg,1325.0,2023
2023,7,おしろい,出荷その他,kg,436.0,2023
