term,year,interest,n_months
アイシャドウ,2019,57.92,12
アイシャドウ,2020,66.42,12
アイシャドウ,2021,73.33,12
アイシャドウ,2022,73.75,12
アイシャドウ,2023,66.0,12
アイシャドウ,2024,54.33,12
アイシャドウ,2025,46.0,12
スキンケア,2019,26.92,12
スキンケア,2020,33.42,12
スキンケア,2021,31.92,12
スキンケア,2022,32.67,12
スキンケア,2023,32.75,12
スキンケア,2024,31.17,12
スキンケア,2025,30.58,12
セラミド,2019,18.42,12
セラミド,2020,16.08,12
セラミド,2021,16.42,12
セラミド,2022,17.42,12
セラミド,2023,18.33,12
セラミド,2024,18.33,12
セラミド,2025,17.75,12
ナイアシンアミド,2019,1.25,12
ナイアシンアミド,2020,3.83,12
ナイアシンアミド,2021,7.25,12
ナイアシンアミド,2022,13.17,12
ナイアシンアミド,2023,15.25,12
ナイアシンアミド,2024,16.33,12
ナイアシンアミド,2025,18.67,12
ヒアルロン酸,2019,43.83,12
ヒアルロン酸,2020,39.67,12
ヒアルロン酸,2021,47.67,12
ヒアルロン酸,2022,60.92,12
ヒアルロン酸,2023,70.83,12
ヒアルロン酸,2024,77.08,12
ヒアルロン酸,2025,75.08,12
ファンデーション,2019,75.67,12
ファンデーション,2020,60.58,12
ファンデーション,2021,58.5,12
ファンデーション,2022,63.5,12
ファンデーション,2023,65.5,12
ファンデーション,2024,56.5,12
ファンデーション,2025,52.17,12
レチノール,2019,10.25,12
レチノール,2020,11.83,12
レチノール,2021,19.5,12
レチノール,2022,47.0,12
レチノール,2023,64.08,12
レチノール,2024,71.75,12
レチノール,2025,68.75,12
乳液,2019,14.67,12
乳液,2020,18.33,12
乳液,2021,18.17,12
乳液,2022,20.08,12
乳液,2023,21.08,12
乳液,2024,21.0,12
乳液,2025,20.58,12
化粧品,2019,85.58,12
化粧品,2020,77.42,12
化粧品,2021,69.5,12
化粧品,2022,67.33,12
化粧品,2023,66.42,12
化粧品,2024,59.67,12
化粧品,2025,57.83,12
化粧水,2019,77.67,12
化粧水,2020,87.17,12
化粧水,2021,84.33,12
化粧水,2022,84.42,12
化粧水,2023,84.92,12
化粧水,2024,78.92,12
化粧水,2025,73.92,12
口紅,2019,22.42,12
口紅,2020,12.75,12
口紅,2021,9.5,12
口紅,2022,10.25,12
口紅,2023,11.75,12
口紅,2024,9.25,12
口紅,2025,8.17,12
基礎化粧品,2019,2.92,12
基礎化粧品,2020,2.5,12
基礎化粧品,2021,2.17,12
基礎化粧品,2022,2.0,12
基礎化粧品,2023,1.92,12
基礎化粧品,2024,1.25,12
基礎化粧品,2025,1.0,12
美容液,2019,39.83,12
美容液,2020,46.25,12
美容液,2021,49.83,12
美容液,2022,52.0,12
美容液,2023,56.0,12
美容液,2024,60.92,12
美容液,2025,66.0,12
