root,mean_norm,seed_count,seeds,max_raw,metric,window,signal_type
マスク,0.4385915477237816,3,"スキンケア, ファンデーション, 口紅",18550,1.3158,covid,other
レチノール,0.2101160255342365,5,"セラミド, ナイアシンアミド, レチノール, 化粧品, 美容液",148050,1.0506,covid,ingredient
ナイアシンアミド,0.2524951016433407,4,"セラミド, ナイアシンアミド, レチノール, 化粧品",270000,1.01,covid,ingredient
サロニア,1.0,1,洗顔,5600,1.0,covid,other
ウモア,1.0,1,美容液,16800,1.0,covid,other
白潤,1.0,1,化粧水,120,1.0,covid,other
アンレーベル,0.46012814230774945,2,"レチノール, 美容液",58250,0.9203,covid,korean_brand
きら,0.8663446054750402,1,ファンデーション,26900,0.8663,covid,other
イニスフリー,0.28342656164166613,3,"スキンケア, レチノール, 洗顔",106900,0.8503,covid,korean_brand
v3ファンデーション,0.7236714975845411,1,ファンデーション,31050,0.7237,covid,other
リンクルカバー,0.6886741814278046,1,ファンデーション,25050,0.6887,covid,other
cica,0.6875,1,洗顔,3850,0.6875,covid,other
ロムアンド,0.6711590296495957,1,口紅,12450,0.6712,covid,other
v3,0.5555555555555556,1,ファンデーション,17250,0.5556,covid,other
セラミエイド,0.5287244401168452,1,セラミド,27150,0.5287,covid,korean_brand
田中,0.24338028169014084,2,"スキンケア, 化粧品",450,0.4868,covid,other
日焼け止め,0.4666666666666666,1,日焼け止め,250,0.4667,covid,other
イプサ,0.4225352112676056,1,スキンケア,1500,0.4225,covid,other
ikko,0.4,1,化粧品,500,0.4,covid,other
クリスティーナ,0.4,1,化粧品,500,0.4,covid,other
魔女,0.3635185185185185,1,ナイアシンアミド,98150,0.3635,covid,other
cosrx,0.36202057998129095,1,レチノール,38700,0.362,covid,korean_brand
メラノCC (Rohto),0.11597663139329806,3,"ナイアシンアミド, 洗顔, 美容液",59150,0.3479,covid,other
エリクシール,0.3333333333333333,1,化粧水,40,0.3333,covid,other
桃セラミドパック,0.3157091853294385,1,セラミド,51350,0.3157,covid,ingredient
ガラクト,0.2262962962962963,1,ナイアシンアミド,61100,0.2263,covid,other
リンゴ,0.21428571428571427,1,洗顔,1200,0.2143,covid,other
フィービー,0.16964285714285715,1,美容液,2850,0.1696,covid,other
ロゼット,0.16964285714285715,1,洗顔,950,0.1696,covid,other
石井,0.16901408450704225,1,スキンケア,600,0.169,covid,other
ドクターシーラボ,0.16555555555555557,1,ナイアシンアミド,44700,0.1656,covid,other
基礎,0.16,1,化粧品,200,0.16,covid,other
カウンセリング,0.16,1,化粧品,200,0.16,covid,other
エルメス,0.1509433962264151,1,口紅,2800,0.1509,covid,other
極,0.13907407407407407,1,ナイアシンアミド,37550,0.1391,covid,other
セラミド,0.06010267017117352,2,"セラミド, ナイアシンアミド",37850,0.1202,covid,ingredient
three,0.11267605633802817,1,スキンケア,400,0.1127,covid,other
大正,0.112,1,化粧品,140,0.112,covid,other
dior,0.036663204130850585,3,"スキンケア, ファンデーション, 化粧品",130,0.11,covid,other
ベビー,0.10714285714285714,1,洗顔,600,0.1071,covid,other
口紅,0.0954177897574124,1,口紅,6650,0.0954,covid,other
ヤクルト,0.088,1,化粧品,110,0.088,covid,other
化粧品,0.07680000000000001,1,化粧品,140,0.0768,covid,other
ヒト,0.072,1,化粧品,90,0.072,covid,other
ビタミン,0.023002116402116402,3,"ナイアシンアミド, 化粧品, 美容液",130,0.069,covid,other
銀座,0.068,1,化粧品,90,0.068,covid,other
残像,0.0646900269541779,1,口紅,1750,0.0647,covid,other
ロート,0.064,1,化粧品,80,0.064,covid,other
ファミュ,0.0625,1,美容液,1050,0.0625,covid,other
富士,0.056,1,化粧品,70,0.056,covid,other
医薬,0.056,1,化粧品,70,0.056,covid,other
オージオ,0.056,1,化粧品,70,0.056,covid,other
スキンケア,0.0539906103286385,1,スキンケア,600,0.054,covid,other
shiro,0.048,1,化粧品,60,0.048,covid,other
ステファニー,0.048,1,化粧品,60,0.048,covid,other
カネボウ,0.044642857142857144,1,洗顔,250,0.0446,covid,other
キールズ,0.04443405051449953,1,レチノール,4750,0.0444,covid,other
メンズ,0.021931913542446304,2,"スキンケア, ファンデーション",150,0.0439,covid,other
肌,0.03943661971830986,1,スキンケア,140,0.0394,covid,other
脂性,0.03943661971830986,1,スキンケア,140,0.0394,covid,other
ラゴム,0.03571428571428571,1,洗顔,200,0.0357,covid,other
ファンケル,0.03571428571428571,1,洗顔,250,0.0357,covid,other
duo,0.033928571428571426,1,洗顔,190,0.0339,covid,other
パーフェクト,0.0322061191626409,1,ファンデーション,1000,0.0322,covid,other
酵素,0.03214285714285714,1,洗顔,180,0.0321,covid,other
混合,0.030985915492957747,1,スキンケア,110,0.031,covid,other
バルクオム,0.030357142857142857,1,洗顔,170,0.0304,covid,other
韓国,0.028169014084507043,1,スキンケア,130,0.0282,covid,other
朝,0.023214285714285715,1,洗顔,130,0.0232,covid,other
イソップ,0.01971830985915493,1,スキンケア,70,0.0197,covid,other
泡,0.019642857142857142,1,洗顔,110,0.0196,covid,other
サボン,0.019642857142857142,1,洗顔,110,0.0196,covid,other
メディ,0.017857142857142856,1,洗顔,100,0.0179,covid,other
ラロッシュポゼ,0.017857142857142856,1,洗顔,100,0.0179,covid,other
平岡,0.016901408450704224,1,スキンケア,60,0.0169,covid,other
思春,0.016901408450704224,1,スキンケア,60,0.0169,covid,other
ダブル,0.01607142857142857,1,洗顔,90,0.0161,covid,other
キュレル,0.014285714285714285,1,洗顔,80,0.0143,covid,other
豆乳,0.014285714285714285,1,洗顔,80,0.0143,covid,other
ヘア,0.014285714285714285,1,洗顔,80,0.0143,covid,other
gucci,0.013477088948787063,1,口紅,250,0.0135,covid,other
グッチ,0.013477088948787063,1,口紅,250,0.0135,covid,other
suqqu,0.00570247969755763,2,"ファンデーション, 口紅",170,0.0114,covid,other
t,0.00862533692722372,1,口紅,160,0.0086,covid,other
ブルベ,0.008086253369272238,1,口紅,150,0.0081,covid,other
アンプリ,0.00644122383252818,1,ファンデーション,200,0.0064,covid,other
クリオ,0.006119162640901771,1,ファンデーション,190,0.0061,covid,other
まつ毛,0.005952380952380952,1,美容液,100,0.006,covid,other
美容,0.005952380952380952,1,美容液,100,0.006,covid,other
nars,0.003542673107890499,1,ファンデーション,110,0.0035,covid,other
クレドポー,0.00322061191626409,1,ファンデーション,100,0.0032,covid,other
導入,0.002380952380952381,1,美容液,40,0.0024,covid,other
シュウ,0.0022544283413848632,1,ファンデーション,70,0.0023,covid,other
50,0.001932367149758454,1,ファンデーション,60,0.0019,covid,other
たかの,0.001932367149758454,1,ファンデーション,60,0.0019,covid,other
エレガンス,0.001610305958132045,1,ファンデーション,50,0.0016,covid,other
ポール,0.001610305958132045,1,ファンデーション,50,0.0016,covid,other
オーディナリー,0.0007037037037037037,1,ナイアシンアミド,190,0.0007,covid,other
アヌア,0.43173868065286747,4,"スキンケア, ナイアシンアミド, レチノール, 美容液",350200,1.727,recent,korean_brand
松山,1.0,1,化粧水,190,1.0,recent,other
白潤,1.0,1,化粧水,190,1.0,recent,other
グロス (lip),1.0,1,口紅,250,1.0,recent,other
リージュ化粧品,1.0,1,化粧品,16850,1.0,recent,other
シカリ,0.9899856938483548,1,洗顔,34600,0.99,recent,other
ポケモン口紅コラボ,0.8266666666666667,1,口紅,250,0.8267,recent,other
