week_start,term,interest
2019-01-01,アイシャドウ,74
2019-01-01,ファンデーション,81
2019-01-01,口紅,100
2019-02-01,アイシャドウ,72
2019-02-01,ファンデーション,83
2019-02-01,口紅,91
2019-03-01,アイシャドウ,75
2019-03-01,ファンデーション,100
2019-03-01,口紅,95
2019-04-01,アイシャドウ,59
2019-04-01,ファンデーション,91
2019-04-01,口紅,73
2019-05-01,アイシャドウ,56
2019-05-01,ファンデーション,87
2019-05-01,口紅,83
2019-06-01,アイシャドウ,56
2019-06-01,ファンデーション,87
2019-06-01,口紅,74
2019-07-01,アイシャドウ,59
2019-07-01,ファンデーション,85
2019-07-01,口紅,72
2019-08-01,アイシャドウ,61
2019-08-01,ファンデーション,77
2019-08-01,口紅,81
2019-09-01,アイシャドウ,73
2019-09-01,ファンデーション,96
2019-09-01,口紅,94
2019-10-01,アイシャドウ,64
2019-10-01,ファンデーション,72
2019-10-01,口紅,79
2019-11-01,アイシャドウ,66
2019-11-01,ファンデーション,82
2019-11-01,口紅,88
2019-12-01,アイシャドウ,76
2019-12-01,ファンデーション,82
2019-12-01,口紅,93
2020-01-01,アイシャドウ,76
2020-01-01,ファンデーション,77
2020-01-01,口紅,86
2020-02-01,アイシャドウ,78
2020-02-01,ファンデーション,81
2020-02-01,口紅,80
2020-03-01,アイシャドウ,75
2020-03-01,ファンデーション,74
2020-03-01,口紅,70
2020-04-01,アイシャドウ,55
2020-04-01,ファンデーション,54
2020-04-01,口紅,41
2020-05-01,アイシャドウ,59
2020-05-01,ファンデーション,60
2020-05-01,口紅,42
2020-06-01,アイシャドウ,74
2020-06-01,ファンデーション,74
2020-06-01,口紅,40
2020-07-01,アイシャドウ,74
2020-07-01,ファンデーション,63
2020-07-01,口紅,37
2020-08-01,アイシャドウ,78
2020-08-01,ファンデーション,65
2020-08-01,口紅,37
2020-09-01,アイシャドウ,79
2020-09-01,ファンデーション,68
2020-09-01,口紅,39
2020-10-01,アイシャドウ,82
2020-10-01,ファンデーション,67
2020-10-01,口紅,35
2020-11-01,アイシャドウ,84
2020-11-01,ファンデーション,67
2020-11-01,口紅,39
2020-12-01,アイシャドウ,92
2020-12-01,ファンデーション,67
2020-12-01,口紅,38
2021-01-01,アイシャドウ,96
2021-01-01,ファンデーション,66
2021-01-01,口紅,38
2021-02-01,アイシャドウ,90
2021-02-01,ファンデーション,71
2021-02-01,口紅,37
2021-03-01,アイシャドウ,92
2021-03-01,ファンデーション,72
2021-03-01,口紅,36
2021-04-01,アイシャドウ,74
2021-04-01,ファンデーション,71
2021-04-01,口紅,33
2021-05-01,アイシャドウ,75
2021-05-01,ファンデーション,66
2021-05-01,口紅,32
2021-06-01,アイシャドウ,71
2021-06-01,ファンデーション,66
2021-06-01,口紅,30
2021-07-01,アイシャドウ,75
2021-07-01,ファンデーション,63
2021-07-01,口紅,33
2021-08-01,アイシャドウ,81
2021-08-01,ファンデーション,58
2021-08-01,口紅,37
2021-09-01,アイシャドウ,87
2021-09-01,ファンデーション,60
2021-09-01,口紅,38
2021-10-01,アイシャドウ,77
2021-10-01,ファンデーション,62
2021-10-01,口紅,36
2021-11-01,アイシャドウ,92
2021-11-01,ファンデーション,63
2021-11-01,口紅,38
2021-12-01,アイシャドウ,95
2021-12-01,ファンデーション,68
2021-12-01,口紅,39
2022-01-01,アイシャドウ,100
2022-01-01,ファンデーション,71
2022-01-01,口紅,44
2022-02-01,アイシャドウ,100
2022-02-01,ファンデーション,78
2022-02-01,口紅,35
2022-03-01,アイシャドウ,97
2022-03-01,ファンデーション,78
2022-03-01,口紅,42
2022-04-01,アイシャドウ,83
2022-04-01,ファンデーション,76
2022-04-01,口紅,34
2022-05-01,アイシャドウ,78
2022-05-01,ファンデーション,76
2022-05-01,口紅,34
2022-06-01,アイシャドウ,72
2022-06-01,ファンデーション,72
2022-06-01,口紅,31
2022-07-01,アイシャドウ,70
2022-07-01,ファンデーション,67
2022-07-01,口紅,32
2022-08-01,アイシャドウ,81
2022-08-01,ファンデーション,66
2022-08-01,口紅,33
2022-09-01,アイシャドウ,83
2022-09-01,ファンデーション,68
2022-09-01,口紅,48
2022-10-01,アイシャドウ,77
2022-10-01,ファンデーション,69
2022-10-01,口紅,53
2022-11-01,アイシャドウ,84
2022-11-01,ファンデーション,71
2022-11-01,口紅,41
2022-12-01,アイシャドウ,84
2022-12-01,ファンデーション,64
2022-12-01,口紅,36
2023-01-01,アイシャドウ,88
2023-01-01,ファンデーション,66
2023-01-01,口紅,34
2023-02-01,アイシャドウ,84
2023-02-01,ファンデーション,72
2023-02-01,口紅,36
2023-03-01,アイシャドウ,90
2023-03-01,ファンデーション,83
2023-03-01,口紅,43
2023-04-01,アイシャドウ,71
2023-04-01,ファンデーション,75
2023-04-01,口紅,39
2023-05-01,アイシャドウ,68
2023-05-01,ファンデーション,73
2023-05-01,口紅,43
2023-06-01,アイシャドウ,69
2023-06-01,ファンデーション,76
2023-06-01,口紅,63
2023-07-01,アイシャドウ,67
2023-07-01,ファンデーション,75
2023-07-01,口紅,47
2023-08-01,アイシャドウ,71
2023-08-01,ファンデーション,66
2023-08-01,口紅,46
2023-09-01,アイシャドウ,73
2023-09-01,ファンデーション,74
2023-09-01,口紅,48
2023-10-01,アイシャドウ,67
2023-10-01,ファンデーション,71
2023-10-01,口紅,48
2023-11-01,アイシャドウ,74
2023-11-01,ファンデーション,76
2023-11-01,口紅,47
2023-12-01,アイシャドウ,81
2023-12-01,ファンデーション,75
2023-12-01,口紅,46
2024-01-01,アイシャドウ,75
2024-01-01,ファンデーション,72
2024-01-01,口紅,44
2024-02-01,アイシャドウ,78
2024-02-01,ファンデーション,69
2024-02-01,口紅,38
2024-03-01,アイシャドウ,71
2024-03-01,ファンデーション,70
2024-03-01,口紅,34
2024-04-01,アイシャドウ,54
2024-04-01,ファンデーション,62
2024-04-01,口紅,34
2024-05-01,アイシャドウ,54
2024-05-01,ファンデーション,71
2024-05-01,口紅,38
2024-06-01,アイシャドウ,56
2024-06-01,ファンデーション,64
2024-06-01,口紅,33
2024-07-01,アイシャドウ,52
2024-07-01,ファンデーション,64
2024-07-01,口紅,31
2024-08-01,アイシャドウ,55
2024-08-01,ファンデーション,52
2024-08-01,口紅,29
2024-09-01,アイシャドウ,66
2024-09-01,ファンデーション,60
2024-09-01,口紅,36
2024-10-01,アイシャドウ,60
2024-10-01,ファンデーション,56
2024-10-01,口紅,34
2024-11-01,アイシャドウ,59
2024-11-01,ファンデーション,62
2024-11-01,口紅,32
2024-12-01,アイシャドウ,65
2024-12-01,ファンデーション,60
2024-12-01,口紅,33
2025-01-01,アイシャドウ,62
2025-01-01,ファンデーション,57
2025-01-01,口紅,33
2025-02-01,アイシャドウ,60
2025-02-01,ファンデーション,61
2025-02-01,口紅,29
2025-03-01,アイシャドウ,59
2025-03-01,ファンデーション,63
2025-03-01,口紅,31
2025-04-01,アイシャドウ,48
2025-04-01,ファンデーション,64
2025-04-01,口紅,29
2025-05-01,アイシャドウ,48
2025-05-01,ファンデーション,61
2025-05-01,口紅,29
2025-06-01,アイシャドウ,44
2025-06-01,ファンデーション,64
2025-06-01,口紅,28
2025-07-01,アイシャドウ,44
2025-07-01,ファンデーション,62
2025-07-01,口紅,29
2025-08-01,アイシャドウ,50
2025-08-01,ファンデーション,56
2025-08-01,口紅,31
2025-09-01,アイシャドウ,50
2025-09-01,ファンデーション,57
2025-09-01,口紅,32
2025-10-01,アイシャドウ,49
2025-10-01,ファンデーション,50
2025-10-01,口紅,30
2025-11-01,アイシャドウ,56
2025-11-01,ファンデーション,56
2025-11-01,口紅,33
