tier_group,category,sku_count,avg_reviews,avg_rating,rated_share,med_price,min_price,max_price
cosmetics,korean_cosmetics,6047,9.5,4.51,0.674,2310.0,50.0,374000.0
cosmetics,cosmetics,3135,98.4,4.48,1.0,2300.0,110.0,41940.0
skincare,all_in_one,9340,2.6,4.55,0.306,3432.0,1.0,334206.0
skincare,emulsion,4273,6.1,4.59,1.0,3300.0,200.0,68000.0
skincare,sun_protection,4130,17.7,4.56,1.0,2728.0,100.0,40205.0
skincare,serum_essence,3542,63.5,4.57,0.975,4180.0,88.0,199584.0
skincare,face_cream,3435,15.8,4.6,1.0,4180.0,220.0,90310.0
skincare,face_wash,3277,19.4,4.65,1.0,2200.0,100.0,70686.0
skincare,toner_lotion,3105,27.5,4.65,1.0,3259.0,165.0,105000.0
skincare,skincare,2535,182.8,4.57,1.0,2900.0,100.0,38300.0
