term,pre_mean,post_mean,delta,pct_change
cosme,0.007188650720291136,0.004734049123150133,-0.002454601597141003,-34.1
あまり,0.0030696705338360128,0.0046736112326826364,0.0016039406988466237,52.3
いただく ござる,0.00258139934887709,0.004759491339831296,0.0021780919909542063,84.4
こと ない,0.002456564577000972,0.004218669968355514,0.0017621053913545424,71.7
しっかり,0.007635305779807595,0.008896040770333957,0.0012607349905263627,16.5
しっとり,0.00972795653454403,0.01014815304293887,0.00042019650839483953,4.3
する みる,0.004017125131579684,0.005631184307515063,0.0016140591759353793,40.2
する 使う,0.005329846941348115,0.005013937203045925,-0.00031590973830218985,-5.9
よく,0.0050678538603684065,0.005328029377035614,0.0002601755166672078,5.1
アイシャドウ,0.005964213968260348,0.00504519181763173,-0.0009190221506286183,-15.4
アット,0.0059993699434355615,0.011418221891646903,0.005418851948211342,90.3
アット コスメ,0.0060008695975997586,0.01141237414816183,0.005411504550562071,90.2
アップ,0.000511610939800206,0.004620817439617747,0.0041092064998175405,803.2
オイル,0.004324716297704981,0.005837193385614356,0.001512477087909375,35.0
カバー,0.0004695638570643466,0.007388883679082268,0.006919319822017921,1473.6
カラー,0.0006509314278345033,0.006184725944476537,0.005533794516642034,850.1
クリーム,0.014978969009928862,0.01012767847309322,-0.004851290536835641,-32.4
クレンジング,0.025230091854093622,0.006682453003050546,-0.018547638851043075,-73.5
コスメ,0.011348837959686593,0.015372610361262232,0.004023772401575639,35.5
サンプル,0.004898053751268798,0.009684151499326606,0.004786097748057808,97.7
ジェル,0.0022173463395283493,0.004454479564693079,0.0022371332251647294,100.9
スキンケア,0.005885742464103522,0.004433096798680357,-0.0014526456654231652,-24.7
タイプ,0.012065850875395152,0.006333145866438931,-0.005732705008956221,-47.5
テクスチャー,0.002951398937925325,0.008066088616425772,0.005114689678500447,173.3
ファンデーション,0.001552622435930265,0.004696057397023015,0.00314343496109275,202.5
プレゼント,0.011216352051373456,0.013751406412416678,0.0025350543610432215,22.6
プレゼント いただく,0.0042965695098727465,0.00553607643266286,0.0012395069227901139,28.8
ベタつく,0.0038115577794470027,0.00499505879952776,0.0011835010200807574,31.1
メイク,0.013720759036189006,0.010662385363085522,-0.003058373673103484,-22.3
ラメ,0.002051743935454437,0.00606866408338726,0.004016920147932823,195.8
リップ,0.0014329442087271122,0.006982491043693221,0.005549546834966109,387.3
リニューアル,0.0029663921388023134,0.008608540009373557,0.005642147870571244,190.2
リピ,0.009080094350498532,0.0045874895285693005,-0.004492604821929231,-49.5
リピート,0.011014534091895215,0.007217906165953747,-0.003796627925941468,-34.5
リピート する,0.009768598122191512,0.005254420616326326,-0.004514177505865186,-46.2
下地,0.002571306690864441,0.006503598648200342,0.003932291957335901,152.9
乳液,0.0030486838001442746,0.007930905392813482,0.004882221592669207,160.1
乾燥,0.019577555465498817,0.012479324857085144,-0.007098230608413672,-36.3
乾燥肌,0.0098688722568519,0.004927859619785381,-0.004941012637066519,-50.1
以前,0.006976767504228885,0.00451655366099316,-0.0024602138432357253,-35.3
伸び,0.0043454840874703774,0.007722654881001744,0.003377170793531366,77.7
伸び 良い,0.0022899070856211845,0.004749909561098304,0.0024600024754771197,107.4
使い心地,0.003708520411458672,0.0054198888420258886,0.0017113684305672164,46.1
使う,0.04115377379506343,0.03022966205453882,-0.01092411174052461,-26.5
使える,0.009933809712022592,0.008193749184150285,-0.0017400605278723065,-17.5
使用感,0.004111014040912039,0.007290791824456443,0.003179777783544404,77.3
保湿,0.016160009595770335,0.011424156799461458,-0.004735852796308877,-29.3
保湿 する,0.002212335196386662,0.004502626296776584,0.0022902911003899224,103.5
値段,0.0037552651604554304,0.004453922454943962,0.0006986572944885313,18.6
入る いる,0.0028079059496417093,0.004079610719783455,0.0012717047701417458,45.3
