week_start,term,interest
2019-01-01,スキンケア,27
2019-01-01,化粧品,89
2019-02-01,スキンケア,26
2019-02-01,化粧品,88
2019-03-01,スキンケア,28
2019-03-01,化粧品,94
2019-04-01,スキンケア,26
2019-04-01,化粧品,84
2019-05-01,スキンケア,29
2019-05-01,化粧品,87
2019-06-01,スキンケア,27
2019-06-01,化粧品,84
2019-07-01,スキンケア,25
2019-07-01,化粧品,78
2019-08-01,スキンケア,24
2019-08-01,化粧品,75
2019-09-01,スキンケア,26
2019-09-01,化粧品,89
2019-10-01,スキンケア,25
2019-10-01,化粧品,81
2019-11-01,スキンケア,29
2019-11-01,化粧品,85
2019-12-01,スキンケア,31
2019-12-01,化粧品,93
2020-01-01,スキンケア,32
2020-01-01,化粧品,87
2020-02-01,スキンケア,32
2020-02-01,化粧品,100
2020-03-01,スキンケア,32
2020-03-01,化粧品,86
2020-04-01,スキンケア,35
2020-04-01,化粧品,71
2020-05-01,スキンケア,40
2020-05-01,化粧品,74
2020-06-01,スキンケア,31
2020-06-01,化粧品,77
2020-07-01,スキンケア,31
2020-07-01,化粧品,70
2020-08-01,スキンケア,31
2020-08-01,化粧品,71
2020-09-01,スキンケア,32
2020-09-01,化粧品,71
2020-10-01,スキンケア,32
2020-10-01,化粧品,72
2020-11-01,スキンケア,35
2020-11-01,化粧品,76
2020-12-01,スキンケア,38
2020-12-01,化粧品,74
2021-01-01,スキンケア,40
2021-01-01,化粧品,72
2021-02-01,スキンケア,36
2021-02-01,化粧品,78
2021-03-01,スキンケア,33
2021-03-01,化粧品,76
2021-04-01,スキンケア,33
2021-04-01,化粧品,70
2021-05-01,スキンケア,30
2021-05-01,化粧品,72
2021-06-01,スキンケア,28
2021-06-01,化粧品,71
2021-07-01,スキンケア,27
2021-07-01,化粧品,60
2021-08-01,スキンケア,29
2021-08-01,化粧品,62
2021-09-01,スキンケア,32
2021-09-01,化粧品,68
2021-10-01,スキンケア,30
2021-10-01,化粧品,65
2021-11-01,スキンケア,33
2021-11-01,化粧品,71
2021-12-01,スキンケア,32
2021-12-01,化粧品,69
2022-01-01,スキンケア,37
2022-01-01,化粧品,70
2022-02-01,スキンケア,39
2022-02-01,化粧品,76
2022-03-01,スキンケア,37
2022-03-01,化粧品,75
2022-04-01,スキンケア,33
2022-04-01,化粧品,68
2022-05-01,スキンケア,32
2022-05-01,化粧品,67
2022-06-01,スキンケア,30
2022-06-01,化粧品,64
2022-07-01,スキンケア,27
2022-07-01,化粧品,59
2022-08-01,スキンケア,29
2022-08-01,化粧品,63
2022-09-01,スキンケア,30
2022-09-01,化粧品,63
2022-10-01,スキンケア,32
2022-10-01,化粧品,67
2022-11-01,スキンケア,33
2022-11-01,化粧品,68
2022-12-01,スキンケア,33
2022-12-01,化粧品,68
2023-01-01,スキンケア,34
2023-01-01,化粧品,65
2023-02-01,スキンケア,35
2023-02-01,化粧品,70
2023-03-01,スキンケア,35
2023-03-01,化粧品,72
2023-04-01,スキンケア,32
2023-04-01,化粧品,69
2023-05-01,スキンケア,35
2023-05-01,化粧品,65
2023-06-01,スキンケア,33
2023-06-01,化粧品,66
2023-07-01,スキンケア,29
2023-07-01,化粧品,62
2023-08-01,スキンケア,30
2023-08-01,化粧品,60
2023-09-01,スキンケア,30
2023-09-01,化粧品,71
2023-10-01,スキンケア,32
2023-10-01,化粧品,63
2023-11-01,スキンケア,34
2023-11-01,化粧品,67
2023-12-01,スキンケア,34
2023-12-01,化粧品,67
2024-01-01,スキンケア,33
2024-01-01,化粧品,65
2024-02-01,スキンケア,32
2024-02-01,化粧品,64
2024-03-01,スキンケア,34
2024-03-01,化粧品,62
2024-04-01,スキンケア,29
2024-04-01,化粧品,60
2024-05-01,スキンケア,31
2024-05-01,化粧品,60
2024-06-01,スキンケア,30
2024-06-01,化粧品,60
2024-07-01,スキンケア,28
2024-07-01,化粧品,54
2024-08-01,スキンケア,28
2024-08-01,化粧品,52
2024-09-01,スキンケア,31
2024-09-01,化粧品,60
2024-10-01,スキンケア,30
2024-10-01,化粧品,58
2024-11-01,スキンケア,34
2024-11-01,化粧品,60
2024-12-01,スキンケア,34
2024-12-01,化粧品,61
2025-01-01,スキンケア,35
2025-01-01,化粧品,75
2025-02-01,スキンケア,33
2025-02-01,化粧品,59
2025-03-01,スキンケア,33
2025-03-01,化粧品,59
2025-04-01,スキンケア,30
2025-04-01,化粧品,54
2025-05-01,スキンケア,31
2025-05-01,化粧品,58
2025-06-01,スキンケア,32
2025-06-01,化粧品,58
2025-07-01,スキンケア,28
2025-07-01,化粧品,51
2025-08-01,スキンケア,29
2025-08-01,化粧品,54
2025-09-01,スキンケア,29
2025-09-01,化粧品,58
2025-10-01,スキンケア,26
2025-10-01,化粧品,53
2025-11-01,スキンケア,31
2025-11-01,化粧品,56
2025-12-01,スキンケア,30
2025-12-01,化粧品,59
2026-01-01,スキンケア,31
2026-01-01,化粧品,54
2026-02-01,スキンケア,32
2026-02-01,化粧品,57
2026-03-01,スキンケア,34
2026-03-01,化粧品,57
2026-04-01,スキンケア,30
2026-04-01,化粧品,54
2026-05-01,スキンケア,34
2026-05-01,化粧品,59
2026-06-01,スキンケア,31
2026-06-01,化粧品,54
