channel_name,search_category,video_count,total_views,total_comments,tier_group
コスメヲタちゃんねるサラ,ファンデーション,6,29124303,1867,cosmetics
nanakoななこ,洗顔料,2,12088201,2548,skincare
HIRO BEAUTY CHANNEL,その他メイク,7,10822286,3486,cosmetics
コスメヲタちゃんねるサラ,口紅・リップ,3,10265962,1034,cosmetics
かずのすけ,化粧水,17,9587030,5737,skincare
HIRO BEAUTY CHANNEL,ファンデーション,6,9040937,2421,cosmetics
HIRO BEAUTY CHANNEL,アイシャドウ,4,8353628,2539,cosmetics
かずのすけ,乳液・クリーム,12,8312542,3761,skincare
友利新公式チャンネル(内科・皮膚科医),成分・知識,8,7527313,2468,skincare
KAJIERI,その他メイク,2,7090967,987,cosmetics
美髪アドバイザー小山【こやゆう】熊本美髪専門美容師,美容液,1,7056064,614,skincare
ハウスダスト,アイシャドウ,2,6905086,2657,cosmetics
やまりゅう【肌の悩み改善ch】,洗顔料,1,6489240,896,skincare
水越みさと,アイシャドウ,7,6220008,2086,cosmetics
かずのすけ,敏感肌・乾燥肌,6,5649312,2506,skincare
かずのすけ,エイジングケア,11,5627827,2779,skincare
かずのすけ,美容液,11,5178180,3969,skincare
薬剤師ナカショウ,乳液・クリーム,2,4755166,1025,skincare
HASHIMOTO BEAUTY CHANNEL,アイシャドウ,1,4707588,760,cosmetics
まさな先生【医師×薬剤師】,洗顔料,1,4628678,353,skincare
北條元治 | 形成外科医・肌の再生医療の専門家,エイジングケア,4,4539697,555,skincare
ゆきりんワールド,その他メイク,1,4352204,3010,cosmetics
nanakoななこ,アイシャドウ,1,4164572,2429,cosmetics
かずのすけ,洗顔料,1,3826541,787,skincare
化粧品子ちゃん,その他メイク,1,3704696,136,cosmetics
すみしょう,成分・知識,2,3702763,1465,skincare
EGA.channel,化粧水,2,3616783,2021,skincare
水越みさと,ファンデーション,4,3503974,981,cosmetics
桃桃ちゃん🍑(MOMO),エイジングケア,1,3370333,155,skincare
しゅう@コスメ日記,洗顔料,1,3367750,429,skincare
EGA.channel,美容液,5,3307363,1618,skincare
ALISAのメイク講座,アイシャドウ,1,3208851,316,cosmetics
まいぱん,アイシャドウ,1,3202424,276,cosmetics
美容オタクのダン,乳液・クリーム,1,3069386,492,skincare
美容オタクのダン,洗顔料,2,2956966,400,skincare
こばとも先生のスキンアカデミー【こばとも皮膚科】,ニキビ・毛穴,1,2942770,322,skincare
Hitomi,アイシャドウ,1,2851450,130,cosmetics
なるねぇ【笑けるダイエット】,ニキビ・毛穴,1,2809188,1140,skincare
五彩緋夏 ひなちゃん5しゃい,アイシャドウ,1,2801818,1515,cosmetics
すみしょう,美容液,2,2705693,1198,skincare
かずのすけ,成分・知識,7,2531511,1370,skincare
美容ノゆうや,洗顔料,1,2382277,181,skincare
すみしょう,乳液・クリーム,2,2368399,445,skincare
まりん日記,洗顔料,1,2324361,659,skincare
HIRO BEAUTY CHANNEL,ニキビ・毛穴,1,2303390,605,skincare
美容ノゆうや,メンズ・プチプラ,5,2268777,393,skincare
HIRO BEAUTY CHANNEL,韓国コスメ,5,2265149,1195,korean
ざわちんチャンネル,その他メイク,1,2222490,143,cosmetics
Make up GYUTAE,ニキビ・毛穴,1,2063695,634,skincare
ALISAのメイク講座,その他メイク,1,2046213,126,cosmetics
水越みさと,口紅・リップ,5,2016686,1216,cosmetics
ドラゴン細井featアマソラクリニックch,敏感肌・乾燥肌,1,2012491,237,skincare
HIRO BEAUTY CHANNEL,メンズ・プチプラ,1,1947777,971,skincare
美容オタクのダン,ファンデーション,1,1942679,165,cosmetics
八田エミリの日常,メンズ・プチプラ,3,1925384,1088,skincare
ハウスダスト,ファンデーション,1,1922884,298,cosmetics
とうあ,ニキビ・毛穴,1,1871677,681,skincare
fukuse yuuriマリリン,乳液・クリーム,1,1859286,241,skincare
Saaya,ニキビ・毛穴,1,1768063,756,skincare
水越みさと,メンズ・プチプラ,5,1722249,526,skincare
兵藤小百合｜さゆりメイク,その他メイク,1,1638098,134,cosmetics
薬剤師ナカショウ,敏感肌・乾燥肌,2,1621477,293,skincare
美容マニアハウス,エイジングケア,1,1587596,194,skincare
水越みさと,乳液・クリーム,2,1521333,569,skincare
かぽちゃんねる,その他メイク,1,1497807,151,cosmetics
HIRO BEAUTY CHANNEL,洗顔料,1,1479555,493,skincare
あいす🍨🎀プチプラガーリーメイク,その他メイク,1,1479077,109,cosmetics
千賀健永 / kento senga,美容液,3,1474107,1375,skincare
りんかのお部屋 【Rinka】,成分・知識,1,1456805,310,skincare
ひまひまチャンネル,アイシャドウ,1,1402852,490,cosmetics
かずのすけ,日焼け止め,3,1367818,642,skincare
かずのすけ,メンズ・プチプラ,3,1338310,746,skincare
yuriアラフィフlife 🌱,その他メイク,2,1304709,875,cosmetics
【公認】スタンミ切り抜き,メンズ・プチプラ,1,1298253,932,skincare
HIRO BEAUTY CHANNEL,エイジングケア,2,1236535,711,skincare
五彩緋夏 ひなちゃん5しゃい,口紅・リップ,1,1229266,1047,cosmetics
水越みさと,敏感肌・乾燥肌,3,1225062,524,skincare
美容ノゆうや,敏感肌・乾燥肌,2,1116955,276,skincare
Chiyo. slow life,メンズ・プチプラ,1,869317,82,skincare
すみしょう,化粧水,2,864498,307,skincare
HIRO BEAUTY CHANNEL,口紅・リップ,1,861516,296,cosmetics
momoho channel,その他メイク,1,861120,189,cosmetics
PIVOT 公式チャンネル,メンズ・プチプラ,1,829368,403,skincare
Re:横浜から始める黒服生活,敏感肌・乾燥肌,1,802776,156,skincare
鹿の間,ファンデーション,2,774254,453,cosmetics
minimaru cosme,ファンデーション,1,767646,167,cosmetics
おざみ /Misato Ozawa,その他メイク,1,762653,270,cosmetics
美容botことの,美容液,1,759249,278,skincare
天野佳代子の大人美容 【歳をとるのは怖くない】,エイジングケア,1,749720,146,skincare
Tsumiki つみき,口紅・リップ,2,699418,349,cosmetics
真実の美容外科医 竹江 渉,エイジングケア,1,685832,340,skincare
コスメヲタちゃんねるサラ,韓国コスメ,2,656336,322,korean
韓国オンニAちゃん (会社員J),ファンデーション,1,650958,207,cosmetics
アンダ ANDA,口紅・リップ,1,632569,275,cosmetics
はなふさ皮膚科17院　花房火月のチャンネル,成分・知識,2,620607,303,skincare
八田エミリ 美容,エイジングケア,1,613871,115,skincare
ヘアメイク職人_化け子,その他メイク,1,607867,141,cosmetics
薬剤師ナカショウ,エイジングケア,1,599405,70,skincare
はなふさ皮膚科17院　花房火月のチャンネル,化粧水,1,597739,498,skincare
EGA.channel,敏感肌・乾燥肌,1,596344,315,skincare
ヨガ的美容家 エリカ,エイジングケア,1,585330,98,skincare
mizuno yuka水野 祐香,敏感肌・乾燥肌,1,578255,128,skincare
友利新公式チャンネル(内科・皮膚科医),日焼け止め,2,576141,182,skincare
Tsumiki つみき,敏感肌・乾燥肌,1,562602,133,skincare
lumily,日焼け止め,1,544578,259,skincare
HIRO BEAUTY CHANNEL,乳液・クリーム,1,503843,195,skincare
はなふさ皮膚科17院　花房火月のチャンネル,乳液・クリーム,1,496900,186,skincare
キヨキヨの美容チャンネル,韓国コスメ,1,487982,113,korean
みかみ / ヘアセットの先生,メンズ・プチプラ,1,487340,301,skincare
ガルちゃん美容ニュース,メンズ・プチプラ,1,473145,67,skincare
