term,tfidf,tier
使う,0.028556883718849353,skincare
動画,0.017204915223129367,skincare
買う,0.015928401147790528,skincare
化粧水,0.01305473160296719,skincare
参考,0.012358332975093424,skincare
美容,0.012114979192965095,skincare
すける,0.012040227453927924,skincare
かず,0.012020634714095403,skincare
かず すける,0.011866480041531556,skincare
ニキビ,0.009818552015585734,skincare
どう,0.009806243398535051,skincare
クレンジング,0.009428453332532803,skincare
効果,0.009267014245794365,skincare
スキンケア,0.009003199987789184,skincare
クリーム,0.008654420453912966,skincare
乳液,0.008588111550281167,skincare
成分,0.0085807202148035,skincare
教える,0.008574467473286065,skincare
洗顔,0.00845814562014398,skincare
言う,0.008217587657746607,skincare
出る,0.008041920647372015,skincare
知る,0.00801290933126504,skincare
嬉しい,0.007904788937807628,skincare
合う,0.007742121237269787,skincare
わかる,0.007708083149687896,skincare
毛穴,0.007646413911746343,skincare
欲しい,0.007495277025674329,skincare
紹介,0.006933486872231957,skincare
メイク,0.0068726701856247924,skincare
敏感肌,0.006741179476594704,skincare
メイク,0.03264691273408211,cosmetics
可愛い,0.02114618119322295,cosmetics
動画,0.020600307780361902,cosmetics
参考,0.018369038827387017,cosmetics
ヒロ,0.014892232030795023,cosmetics
使う,0.01447475835142949,cosmetics
かわいい,0.014264371839532738,cosmetics
買う,0.01297573107289651,cosmetics
わかる,0.010445900741739103,cosmetics
めっちゃ,0.01013482036096348,cosmetics
勉強,0.00989684246194667,cosmetics
ファンデ,0.00927471620693583,cosmetics
嬉しい,0.009075369320566422,cosmetics
欲しい,0.008898170213867046,cosmetics
分かる,0.008560535158000412,cosmetics
教える,0.00848623008575292,cosmetics
下地,0.007928377392001574,cosmetics
めちゃくちゃ,0.007762881738606019,cosmetics
ひな,0.007691967815361315,cosmetics
ほんと,0.007657479738344168,cosmetics
眉毛,0.00740788950575004,cosmetics
コンシーラー,0.007404448203855581,cosmetics
知る,0.007371159674351765,cosmetics
みさと,0.007331933083890425,cosmetics
どう,0.007290057941869157,cosmetics
リップ,0.0070710988982758925,cosmetics
チーク,0.006935534247858352,cosmetics
出る,0.0066414589659464585,cosmetics
凄い,0.006545541929956847,cosmetics
プチプラ,0.006301909678511716,cosmetics
