company_id,issuer_group,panel,feed_reach,history_complete,fetched
105692,アモーレパシフィックジャパン株式会社,core,2022-08-04,True,2026-09-20
108700,株式会社APRJP,core,2022-09-22,True,2026-09-20
112407,ELCジャパン合同会社,core,2022-11-22,True,2026-09-20
119328,アモーレパシフィックジャパン株式会社,core,2023-03-29,True,2026-09-20
121471,アモーレパシフィックジャパン株式会社,core,2023-05-12,True,2026-09-20
121730,ケンビュー・ジャパン合同会社,core,2023-05-12,True,2026-09-20
125824,"ｄ’Alba Global Co., Ltd.",core,2023-07-27,True,2026-09-20
126707,株式会社The Founders JAPAN,core,2023-09-20,True,2026-09-20
127171,株式会社Goodai Global Japan,core,2023-08-07,True,2026-09-20
138729,ELCジャパン合同会社,core,2024-03-06,True,2026-09-20
147749,COSRX inc.,core,2024-08-22,True,2026-09-20
14810,パルファン・クリスチャン・ディオール・ジャポン株式会社,present_forward,2023-11-13,False,2026-09-20
152955,"Gowoonsesang Cosmetics., Co. Ltd.",core,2024-12-06,True,2026-09-20
157077,ウィッシュカンパニー株式会社,core,2025-02-28,True,2026-09-20
1572,株式会社石澤研究所,core,2015-12-21,False,2026-09-20
16220,株式会社カネボウ化粧品,present_forward,2024-10-02,False,2026-09-20
169347,株式会社アルビオン,core,2025-10-03,True,2026-09-20
175138,合同会社TYCHE,core,2026-04-07,True,2026-09-20
17666,株式会社ファンケル,present_forward,2023-02-09,False,2026-09-20
18737,ELCジャパン合同会社,core,2016-04-28,True,2026-09-20
19685,株式会社井田ラボラトリーズ,core,2017-06-29,False,2026-09-20
2061,株式会社オルビス,core,2020-09-25,False,2026-09-20
21350,アモーレパシフィックジャパン株式会社,core,2020-02-27,False,2026-09-20
22808,株式会社資生堂,present_forward,2024-06-21,False,2026-09-20
22865,株式会社アルビオン,core,2021-05-06,True,2026-09-20
24471,日本ロレアル株式会社,core,2017-03-08,True,2026-09-20
263,常盤薬品工業株式会社,present_forward,2022-03-11,False,2026-09-20
28974,株式会社桃谷順天館,present_forward,2022-02-01,False,2026-09-20
30413,株式会社ディーエイチシー,core,2021-05-07,False,2026-09-20
31376,アモーレパシフィックジャパン株式会社,core,2018-01-29,True,2026-09-20
35071,株式会社BENOW JAPAN,core,2022-01-14,True,2026-09-20
36737,株式会社ポーラ,core,2018-11-01,False,2026-09-20
42040,セザンヌ化粧品株式会社,core,2019-03-18,True,2026-09-20
4359,ELCジャパン合同会社,core,2011-11-30,True,2026-09-20
44623,ELCジャパン合同会社,core,2019-05-20,True,2026-09-20
44879,ロート製薬株式会社,present_forward,2024-06-12,False,2026-09-20
46376,株式会社コーセー,core,2019-07-02,True,2026-09-20
56098,株式会社クリオ,core,2020-04-01,True,2026-09-20
5794,株式会社資生堂,present_forward,2025-11-07,False,2026-09-20
64854,P&Gプレステージ合同会社,core,2020-09-16,True,2026-09-20
6496,株式会社マンダム,present_forward,2023-11-30,False,2026-09-20
6944,ニベア花王株式会社,core,2013-03-13,True,2026-09-20
70897,花王株式会社,present_forward,2024-04-10,False,2026-09-20
72864,花王株式会社,present_forward,2023-02-21,False,2026-09-20
76505,株式会社韓国高麗人蔘社,core,2021-03-23,False,2026-09-20
77831,株式会社mimi-Japan,core,2021-04-12,True,2026-09-20
7954,クラシエ株式会社,core,2019-09-03,False,2026-09-20
81704,ファイントゥデイ株式会社,core,2021-07-02,True,2026-09-20
85143,アステナホールディングス株式会社,present_forward,2025-01-14,False,2026-09-20
86691,ユニリーバ・ジャパン株式会社,core,2021-09-14,False,2026-09-20
90124,ELCジャパン合同会社,core,2022-05-14,True,2026-09-20
92303,株式会社ポーラ,core,2022-01-13,True,2026-09-20
9276,花王株式会社,present_forward,2025-03-24,False,2026-09-20
96821,VT COSMETICS,core,2022-03-01,True,2026-09-20
987,株式会社良品計画,present_forward,2025-01-10,False,2026-09-20
