canonical,label_short_en,label_ja,trends_term
ナイアシンアミド,Niacinamide,ナイアシンアミド,ナイアシンアミド
レチノール,Retinol,レチノール,レチノール
レチナール,Retinal,レチナール,レチナール
ヒアルロン酸Na,Hyaluronic acid,ヒアルロン酸,ヒアルロン酸
セラミド,Ceramides,セラミド,セラミド
アスコルビン酸,Vitamin C,ビタミンC,ビタミンC 美容
トラネキサム酸,Tranexamic acid,トラネキサム酸,トラネキサム酸
グルタチオン,Glutathione,グルタチオン,グルタチオン
アゼライン酸,Azelaic acid,アゼライン酸,アゼライン酸
エクソソーム,Exosome,エクソソーム,エクソソーム
ツボクサエキス,Centella (CICA),ツボクサエキス（シカ）,
グリコール酸,Glycolic acid,グリコール酸,
サリチル酸,Salicylic acid,サリチル酸,
加水分解コラーゲン,Collagen,コラーゲン,
コメ発酵液,Rice ferment,コメ発酵液,
スクワラン,Squalane,スクワラン,
バクチオール,Bakuchiol,バクチオール,
ペプチド,Peptides,ペプチド,
DNA-Na,PDRN,PDRN（DNA-Na）,
アラントイン,Allantoin,アラントイン,
グリチルリチン酸2K,Dipotassium glycyrrhizate,グリチルリチン酸2K,
アルブチン,Arbutin,アルブチン,
コウジ酸,Kojic acid,コウジ酸,
酸化亜鉛,Zinc oxide,酸化亜鉛,
酸化チタン,Titanium dioxide,酸化チタン,
