release_id,company_id,issuer,issuer_group,role,origin,panel,published,month,category,category_group,ingredients,brand,tier,is_quasi_drug,is_renewal,is_edition,url
000000001.000006944,6944,ニベア花王株式会社,ニベア花王株式会社,brand_owner,global,core,2013-03-13,2013-03,sunscreen,skincare,,肌ラボ,プチプラ,0,0,0,http://prtimes.jp/main/html/rd/p/000000001.000006944.html
000000002.000006944,6944,ニベア花王株式会社,ニベア花王株式会社,brand_owner,global,core,2013-09-02,2013-09,toner_lotion|cream,skincare,,NIVEA,プチプラ/ミドル,1,1,0,http://prtimes.jp/main/html/rd/p/000000002.000006944.html
000000005.000006944,6944,ニベア花王株式会社,ニベア花王株式会社,brand_owner,global,core,2014-03-06,2014-03,,none,,,プチプラ/ミドル,0,0,0,http://prtimes.jp/main/html/rd/p/000000005.000006944.html
000000006.000006944,6944,ニベア花王株式会社,ニベア花王株式会社,brand_owner,global,core,2014-09-05,2014-09,lipstick|lip_balm,makeup,,NIVEA,プチプラ/ミドル,0,1,0,http://prtimes.jp/main/html/rd/p/000000006.000006944.html
000000007.000004359,4359,ELCジャパン合同会社,ELCジャパン合同会社,brand_owner,global,core,2015-04-10,2015-04,lipstick,makeup,,クリニーク,デパコス,0,0,0,http://prtimes.jp/main/html/rd/p/000000007.000004359.html
000000010.000004359,4359,ELCジャパン合同会社,ELCジャパン合同会社,brand_owner,global,core,2015-11-27,2015-11,foundation,makeup,,クリニーク,デパコス,0,0,0,http://prtimes.jp/main/html/rd/p/000000010.000004359.html
000000011.000004359,4359,ELCジャパン合同会社,ELCジャパン合同会社,brand_owner,global,core,2015-11-28,2015-11,toner_lotion,skincare,,クリニーク,デパコス,0,0,0,http://prtimes.jp/main/html/rd/p/000000011.000004359.html
000000014.000004359,4359,ELCジャパン合同会社,ELCジャパン合同会社,brand_owner,global,core,2016-01-04,2016-01,,none,,クリニーク,デパコス,0,0,0,http://prtimes.jp/main/html/rd/p/000000014.000004359.html
000000012.000006944,6944,ニベア花王株式会社,ニベア花王株式会社,brand_owner,global,core,2016-02-10,2016-02,sunscreen,skincare,,,プチプラ/ミドル,0,1,0,http://prtimes.jp/main/html/rd/p/000000012.000006944.html
000000258.000001572,1572,株式会社石澤研究所,株式会社石澤研究所,brand_owner,JP,core,2016-02-17,2016-02,,none,,,プチプラ,0,0,0,http://prtimes.jp/main/html/rd/p/000000258.000001572.html
000000015.000004359,4359,ELCジャパン合同会社,ELCジャパン合同会社,brand_owner,global,core,2016-02-18,2016-02,serum,skincare,,クリニーク,デパコス,0,0,0,http://prtimes.jp/main/html/rd/p/000000015.000004359.html
000000014.000006944,6944,ニベア花王株式会社,ニベア花王株式会社,brand_owner,global,core,2016-02-25,2016-02,toner_lotion,skincare,,,プチプラ/ミドル,0,0,0,http://prtimes.jp/main/html/rd/p/000000014.000006944.html
000000261.000001572,1572,株式会社石澤研究所,株式会社石澤研究所,brand_owner,JP,core,2016-02-25,2016-02,concealer,makeup,,,プチプラ,1,0,0,http://prtimes.jp/main/html/rd/p/000000261.000001572.html
000000019.000004359,4359,ELCジャパン合同会社,ELCジャパン合同会社,brand_owner,global,core,2016-02-26,2016-02,toner_lotion|foundation|powder,skincare,,,デパコス,0,0,0,http://prtimes.jp/main/html/rd/p/000000019.000004359.html
000000264.000001572,1572,株式会社石澤研究所,株式会社石澤研究所,brand_owner,JP,core,2016-05-06,2016-05,base_makeup|face_wash,makeup,,,プチプラ,0,0,0,http://prtimes.jp/main/html/rd/p/000000264.000001572.html
000000017.000006944,6944,ニベア花王株式会社,ニベア花王株式会社,brand_owner,global,core,2016-05-09,2016-05,,none,,NIVEA,プチプラ/ミドル,0,0,0,http://prtimes.jp/main/html/rd/p/000000017.000006944.html
000000021.000006944,6944,ニベア花王株式会社,ニベア花王株式会社,brand_owner,global,core,2016-07-06,2016-07,lipstick|lip_balm,makeup,,NIVEA,プチプラ/ミドル,0,0,0,http://prtimes.jp/main/html/rd/p/000000021.000006944.html
000000267.000001572,1572,株式会社石澤研究所,株式会社石澤研究所,brand_owner,JP,core,2016-07-21,2016-07,hair,other,,,プチプラ,0,0,0,http://prtimes.jp/main/html/rd/p/000000267.000001572.html
000000023.000006944,6944,ニベア花王株式会社,ニベア花王株式会社,brand_owner,global,core,2016-09-08,2016-09,,none,,,プチプラ/ミドル,0,0,0,http://prtimes.jp/main/html/rd/p/000000023.000006944.html
000000269.000001572,1572,株式会社石澤研究所,株式会社石澤研究所,brand_owner,JP,core,2016-09-12,2016-09,cream,skincare,,毛穴撫子,プチプラ,0,0,0,http://prtimes.jp/main/html/rd/p/000000269.000001572.html
000000026.000004359,4359,ELCジャパン合同会社,ELCジャパン合同会社,brand_owner,global,core,2016-11-14,2016-11,,none,,クリニーク,デパコス,0,0,0,http://prtimes.jp/main/html/rd/p/000000026.000004359.html
000000024.000006944,6944,ニベア花王株式会社,ニベア花王株式会社,brand_owner,global,core,2017-01-19,2017-01,sunscreen|cream,skincare,,,プチプラ/ミドル,0,0,0,https://prtimes.jp/main/html/rd/p/000000024.000006944.html
000000030.000006944,6944,ニベア花王株式会社,ニベア花王株式会社,brand_owner,global,core,2017-05-02,2017-05,,none,,NIVEA,プチプラ/ミドル,0,0,0,https://prtimes.jp/main/html/rd/p/000000030.000006944.html
000000019.000019685,19685,株式会社 井田ラボラトリーズ,株式会社井田ラボラトリーズ,brand_owner,JP,core,2017-06-29,2017-06,nail,makeup,,CANMAKE,プチプラ,0,0,0,https://prtimes.jp/main/html/rd/p/000000019.000019685.html
000000031.000006944,6944,ニベア花王株式会社,ニベア花王株式会社,brand_owner,global,core,2017-07-13,2017-07,cream,skincare,,,プチプラ/ミドル,0,0,0,https://prtimes.jp/main/html/rd/p/000000031.000006944.html
000000033.000006944,6944,ニベア花王株式会社,ニベア花王株式会社,brand_owner,global,core,2017-07-25,2017-07,,none,,NIVEA,プチプラ/ミドル,0,0,0,https://prtimes.jp/main/html/rd/p/000000033.000006944.html
000000034.000006944,6944,ニベア花王株式会社,ニベア花王株式会社,brand_owner,global,core,2017-07-31,2017-07,cream|face_wash|lipstick,skincare,,NIVEA,プチプラ/ミドル,0,0,0,https://prtimes.jp/main/html/rd/p/000000034.000006944.html
000000036.000004359,4359,ELCジャパン合同会社,ELCジャパン合同会社,brand_owner,global,core,2017-08-04,2017-08,,none,,クリニーク,デパコス,0,0,0,https://prtimes.jp/main/html/rd/p/000000036.000004359.html
000000020.000019685,19685,株式会社 井田ラボラトリーズ,株式会社井田ラボラトリーズ,brand_owner,JP,core,2017-09-21,2017-09,powder,makeup,,CANMAKE,プチプラ,0,0,0,https://prtimes.jp/main/html/rd/p/000000020.000019685.html
000000004.000024471,24471,日本ロレアル株式会社　タカミ事業部,日本ロレアル株式会社,brand_owner,global,core,2017-11-21,2017-11,lipstick,makeup,,タカミ,ミドル,0,0,0,https://prtimes.jp/main/html/rd/p/000000004.000024471.html
000000038.000006944,6944,ニベア花王株式会社,ニベア花王株式会社,brand_owner,global,core,2018-01-18,2018-01,sunscreen,skincare,,,プチプラ/ミドル,0,0,0,https://prtimes.jp/main/html/rd/p/000000038.000006944.html
000000001.000031376,31376,アモーレパシフィックジャパン株式会社,アモーレパシフィックジャパン株式会社,brand_owner,KR,core,2018-01-29,2018-01,,none,,イニスフリー,プチプラ/ミドル,0,0,0,https://prtimes.jp/main/html/rd/p/000000001.000031376.html
000000039.000006944,6944,ニベア花王株式会社,ニベア花王株式会社,brand_owner,global,core,2018-02-05,2018-02,cream,skincare,,NIVEA,プチプラ/ミドル,0,0,0,https://prtimes.jp/main/html/rd/p/000000039.000006944.html
000000040.000006944,6944,ニベア花王株式会社,ニベア花王株式会社,brand_owner,global,core,2018-02-08,2018-02,,none,,NIVEA,プチプラ/ミドル,0,0,0,https://prtimes.jp/main/html/rd/p/000000040.000006944.html
000000041.000006944,6944,ニベア花王株式会社,ニベア花王株式会社,brand_owner,global,core,2018-03-07,2018-03,toner_lotion,skincare,,,プチプラ/ミドル,0,0,0,https://prtimes.jp/main/html/rd/p/000000041.000006944.html
000000026.000019685,19685,株式会社 井田ラボラトリーズ,株式会社井田ラボラトリーズ,brand_owner,JP,core,2018-03-22,2018-03,lipstick,makeup,,CANMAKE,プチプラ,0,0,0,https://prtimes.jp/main/html/rd/p/000000026.000019685.html
000000006.000024471,24471,日本ロレアル株式会社　タカミ事業部,日本ロレアル株式会社,brand_owner,global,core,2018-04-02,2018-04,,none,,,mixed,0,1,0,https://prtimes.jp/main/html/rd/p/000000006.000024471.html
000000029.000019685,19685,株式会社 井田ラボラトリーズ,株式会社井田ラボラトリーズ,brand_owner,JP,core,2018-06-22,2018-06,lash_brow|base_makeup,makeup,,CANMAKE,プチプラ,0,0,0,https://prtimes.jp/main/html/rd/p/000000029.000019685.html
000000044.000006944,6944,ニベア花王株式会社,ニベア花王株式会社,brand_owner,global,core,2018-07-31,2018-07,cream,skincare,,,プチプラ/ミドル,0,0,1,https://prtimes.jp/main/html/rd/p/000000044.000006944.html
000000009.000031376,31376,アモーレパシフィックジャパン株式会社,アモーレパシフィックジャパン株式会社,brand_owner,KR,core,2018-08-24,2018-08,foundation,makeup,,,mixed,0,0,0,https://prtimes.jp/main/html/rd/p/000000009.000031376.html
